Listing Title,Property Type,Listing Type,City,Zipcode,Bedrooms,Bathrooms,Max Guests,Airbnb Superhost,Host Listing Count,Instantbook Enabled,Pets Allowed,Average Daily Rate (USD),Cleaning Fee (USD),Annual Revenue LTM (USD),Extra People Fee (USD),Count Available Days LTM,Count Reservation Days LTM,Occupancy Rate LTM,Number of Bookings LTM,Overall Rating,Airbnb Communication Rating,Airbnb Accuracy Rating,Airbnb Cleanliness Rating,Airbnb Checkin Rating,Airbnb Location Rating,Airbnb Value Rating,Latitude,Longitude
Nice room for 1 or a couple,Private room in bed and breakfast,private_room,Dubai,25314,1,1,1,f,,False,False,54,0.0,325,0.0,7,5,86,3,5.0,10.0,10.0,10.0,10.0,7.0,9.0,24.94904,55.05048
Rv anywhere you wish,Camper/RV,entire_home,Dubai,25314,2,2,5,f,,False,False,528,0.0,1246,0.0,59,2,4,2,5.0,10.0,10.0,10.0,10.0,10.0,10.0,24.98501423949652,55.01754669692092
ONE BEDROOM APARTMENT (2 PERSON),Entire rental unit,entire_home,Dubai,25314,1,2,2,f,12.0,False,False,54,14.0,702,0.0,57,10,21,4,4.4,10.0,9.0,9.0,10.0,9.0,9.0,24.9696,55.08053
Bright 2BR in the Heart of Jebel Ali - Sleeps 4!,Entire rental unit,entire_home,دبي,25314,2,3,4,f,,False,False,78,0.0,1959,0.0,31,21,81,1,,,,,,,,24.97052652823348,55.08772276658728
Spacious 2BR in the Heart of Jebel Ali!,Entire rental unit,entire_home,Dubai,25314,2,3,4,f,,False,False,64,0.0,5354,0.0,89,70,94,1,5.0,10.0,10.0,10.0,10.0,8.0,10.0,24.968799293372356,55.08893265636196
1 Bed Apt in 7 By Aurora 309,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,80,0.0,1738,0.0,41,18,53,1,,,,,,,,24.97207607893871,55.08933138042224
1 Bed Apt in 7 By Aurora 302,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,82,0.0,689,0.0,10,7,84,1,,,,,,,,24.971759575329635,55.08977876768861
1 Bed Apt in 7 By Aurora 303,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,82,0.0,1868,0.0,34,19,67,0,,,,,,,,24.973473598322517,55.08793330832937
1 Bed Apt in 7 By Aurora 308,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,82,0.0,1189,0.0,25,12,58,2,,,,,,,,24.973837712495204,55.08949693668938
1 Bed Apt in 7 By Aurora 101,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,76,0.0,1101,0.0,69,12,21,1,,,,,,,,24.97536067151594,55.08982651783766
1 Bed Apt in 7 By Aurora 202,Entire rental unit,entire_home,Dubai,25314,1,1,4,f,,False,False,82,0.0,293,0.0,17,3,21,0,,,,,,,,24.97557405621944,55.08975918881341
1 Bed Apt in 7 By Aurora 301,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,80,0.0,1526,0.0,36,16,53,2,,,,,,,,24.97370705845164,55.09002346611056
420 Amazing Studio infront of metro station,Entire rental unit,entire_home,Dubai,25314,1,1,3,f,,False,True,88,0.0,2218,0.0,30,21,84,0,,,,,,,,24.97458,55.09122
1 Bed Apt in 7 By Aurora 111,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,85,0.0,303,0.0,17,3,21,0,5.0,10.0,10.0,10.0,10.0,10.0,9.0,24.975226644521417,55.09011935970813
1 Bed Apt in 7 by Aurora 205,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,81,0.0,482,0.0,17,5,35,2,,,,,,,,24.97547,55.09014
2 Bed Apt in 7 by Aurora 104,Entire rental unit,entire_home,Dubai,25314,2,3,6,f,,False,False,114,0.0,3420,0.0,30,30,100,0,,,,,,,,24.975579837798144,55.0901133867942
Durrani Homes-Modern Luxury Besides Fountain View,Entire condo,entire_home,Dubai,25314,2,2,5,f,31.0,True,False,246,52.0,20673,0.0,187,65,42,26,5.0,10.0,10.0,10.0,10.0,9.0,9.0,24.97537,55.09146
1 Bed Apt in 7 by Aurora 209,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,82,0.0,3070,0.0,48,31,78,0,,,,,,,,24.97559861788447,55.09060413557961
1 Bed Apt in 7 By Aurora 106,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,85,0.0,1739,0.0,31,17,66,3,5.0,10.0,10.0,10.0,10.0,10.0,10.0,24.976008635013564,55.09047435386377
1 Bed Apt in 7 by Aurora 208,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,82,0.0,2362,0.0,48,24,60,1,,,,,,,,24.97559087768816,55.09111559062763
1 Bed Apt in 7 By Aurora 203,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,81,0.0,2333,0.0,48,24,60,1,,,,,,,,24.97575423131392,55.09126096998427
Luxury master room with amazing veiw and location,Private room in rental unit,private_room,Dubai,25314,1,2,2,f,,False,False,129,0.0,155,0.0,4,1,30,0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,24.976,55.091
sls hotel,Entire rental unit,entire_home,Dubai,25314,1,1,1,f,,False,False,82,0.0,984,0.0,30,10,40,1,,,,,,,,24.976,55.091
1 Bed Apt in 7 by Aurora 210,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,82,0.0,2059,0.0,31,21,81,1,,,,,,,,24.975829614695872,55.09148007762435
1 Bed Apt in 7 by Aurora 211,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,81,0.0,2034,0.0,31,21,81,2,,,,,,,,24.9759091788454,55.09161163538284
1 Bed Apt in 7 By Aurora 201,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,82,0.0,1474,0.0,31,15,58,1,,,,,,,,24.97619654433983,55.09114673419703
1 Bed Apt in 7 By Aurora 102,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,86,0.0,1643,0.0,39,16,49,0,,,,,,,,24.97566245456556,55.09189408183332
1 Bed Apt in 7 By Aurora 108,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,81,0.0,1944,0.0,48,20,50,2,,,,,,,,24.97737103101825,55.08967991692527
1 Bed Apt in 7 by Aurora 206,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,82,0.0,390,0.0,17,4,28,1,,,,,,,,24.97683913004181,55.09020571850659
922 Studio infront of uae exchange Metro Station,Entire rental unit,entire_home,Dubai,25314,1,1,3,f,,False,True,54,0.0,327,0.0,11,5,55,2,3.0,7.0,6.0,9.0,6.0,9.0,7.0,24.9767,55.09094
A Specious studio offering near Metro,Private room in rental unit,private_room,Dubai,25314,1,1,2,f,,False,False,49,0.0,597,0.0,42,10,29,0,5.0,10.0,10.0,10.0,10.0,8.0,10.0,24.97671,55.09099
Spacious Studio Apt near the Metro - Sleeps 2!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,55,0.0,9570,0.0,174,158,100,25,4.2,9.0,10.0,8.0,8.0,8.0,8.0,24.97683,55.09088
1 Bed Apt in 7 by Aurora 207,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,82,0.0,2542,0.0,31,27,100,0,,,,,,,,24.97696544585119,55.09104725044762
HOMEYVILLAS | Furnished Apt @ UAE Exchange Metro.,Entire condo,entire_home,Dubai,25314,1,1,3,f,,False,False,51,0.0,9994,0.0,213,163,92,6,4.5,10.0,9.0,10.0,10.0,9.0,9.0,24.97687,55.09156
1 Bed Apt in 7 By Aurora 109,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,False,86,0.0,2394,0.0,48,23,58,1,5.0,10.0,10.0,10.0,10.0,10.0,10.0,24.97685112882828,55.09167803840889
Bright Studio - Minutes from Dubai Metro!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,164.0,False,False,54,35.0,1857,0.0,32,19,71,18,4.8,10.0,9.0,9.0,9.0,8.0,9.0,24.97733,55.09134
Lovely 1 bedroom Apartment,Entire rental unit,entire_home,Dubai,25314,1,2,3,f,3.0,False,False,136,0.0,26228,0.0,203,161,95,102,,,,,,,,24.97824,55.08996
NEW-Two-Bedroom apartment on SZR,Entire rental unit,entire_home,Dubai,25314,2,3,4,f,,False,False,172,0.0,7245,0.0,81,35,52,4,5.0,10.0,10.0,8.0,10.0,8.0,10.0,24.97845,55.09053
Cosy Studio In Downtown Jabel Ali,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,46,0.0,3174,0.0,69,60,100,1,,,,,,,,24.97837303167905,55.09074740106014
Modern Studio near UAE Exchange Metro Station!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,164.0,False,False,60,35.0,9129,0.0,161,113,84,29,4.5,9.0,9.0,9.0,9.0,9.0,9.0,24.9776,55.09108
3BR Villa on the fountain facing Burj Khalifa,Entire home,entire_home,Dubai,25314,3,4,7,f,2.0,False,False,1225,136.0,57330,54.45,260,40,18,0,,,,,,,,24.97703,55.09194
Cozy Studio In front of Metro in Jebel Ali- BRC,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,77.0,False,False,73,0.0,14393,0.0,212,164,93,16,5.0,10.0,9.0,10.0,10.0,8.0,9.0,24.97769,55.09222
Modern Studio - Minutes from Dubai Metro!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,164.0,False,False,63,35.0,10549,0.0,192,132,82,18,4.5,9.0,9.0,9.0,9.0,8.0,9.0,24.978,55.092
Charming Studio at Azizi Aura Residences Jebel Ali,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,556.0,True,False,95,30.0,13070,0.0,200,113,68,5,4.7,9.0,10.0,9.0,8.0,8.0,8.0,24.978,55.092
Adorable Studio at Aura Residences Jebel Ali,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,556.0,True,False,114,30.0,16691,0.0,182,120,79,10,5.0,10.0,10.0,10.0,10.0,10.0,10.0,24.978,55.092
Cozy Studio Apartment near the metro!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,56,0.0,11612,0.0,216,173,96,18,4.6,10.0,10.0,9.0,10.0,9.0,9.0,24.978,55.092
Cozy Studio next to Metro Short/Long term &Central,Entire condo,entire_home,Dubai,25314,1,1,2,t,1.0,True,True,77,82.0,13413,0.0,181,132,88,14,5.0,10.0,10.0,10.0,10.0,8.0,10.0,24.9997,55.10591
Spacious and serene apartment.,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,,False,True,57,0.0,1180,0.0,90,17,23,0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,24.878,55.145
Brand new studio serviced apartment with pool,Entire serviced apartment,entire_home,Dubai,25314,1,1,2,f,,False,False,68,0.0,82,0.0,2,1,60,0,,,,,,,,24.88759,55.15198
Private room & attached bath. Includes breakfast,Private room in rental unit,private_room,Dubai,25314,1,2,2,f,,False,True,32,0.0,866,0.0,123,23,22,4,4.8,10.0,10.0,9.0,10.0,9.0,10.0,24.88781,55.1508
Spacious Studio Apartment,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,True,54,0.0,1096,0.0,29,17,70,0,,,,,,,,24.88949,55.15123
Mag5 Boulevard-Near to AlMaktum Airport & Expo2020,Entire rental unit,entire_home,دبي,25314,1,1,3,t,1.0,False,False,63,27.0,5996,47.65,131,79,72,2,4.8,9.0,10.0,9.0,10.0,10.0,10.0,24.886,55.159
Privat Villa in Akoya oxygène Damac /,Entire villa,entire_home,Dubai,25314,3,3,6,f,4.0,True,True,91,0.0,15078,0.0,263,137,63,12,4.8,9.0,9.0,9.0,9.0,8.0,9.0,24.9139,55.13259
دبي الجنوبي مبنى 555 شقة 105,Entire rental unit,entire_home,Dubai,25314,2,1,4,f,,False,False,136,0.0,2717,0.0,111,17,18,4,5.0,8.0,10.0,8.0,10.0,10.0,10.0,24.96656,55.15769
Epic 1BHK Apartment,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,,False,False,54,0.0,904,0.0,31,14,54,0,,,,,,,,24.981,55.177
Luxurious 1BHK Apartment!,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,,False,False,42,0.0,1623,0.0,69,32,56,1,5.0,10.0,10.0,10.0,10.0,10.0,10.0,24.98214159416409,55.17786244655915
Hala DIP Furnished 2 bed,Entire serviced apartment,entire_home,Dubai,25314,2,2,4,f,,False,False,74,0.0,4450,0.0,62,50,97,0,5.0,10.0,10.0,9.0,10.0,9.0,9.0,24.99502,55.18039
Monte Christo LuxHoliday Homes 1BHK Damac Celestia,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,,False,True,175,0.0,1225,0.0,7,6,100,7,3.0,10.0,8.0,10.0,10.0,6.0,6.0,24.948,55.198
Gorgeous Studio Apartment III near Expo,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,348.0,False,False,71,0.0,775,0.0,42,9,26,5,,,,,,,,24.94784,55.20206
Stylish 2BR Apartment near Expo,Entire rental unit,entire_home,Dubai,25314,2,3,4,f,348.0,False,False,159,0.0,9270,0.0,110,49,53,7,4.3,8.0,9.0,9.0,9.0,6.0,9.0,24.94824,55.20202
Ultra Modern - Near EXPO 2020 - Dubai South,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,52,0.0,4675,0.0,155,75,58,9,5.0,10.0,10.0,10.0,10.0,9.0,10.0,24.94764,55.20264
Dazzling Studio Apartment near Expo,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,83,0.0,6391,0.0,77,68,100,11,,,,,,,,24.94793,55.20261
Sleek Studio Apartment at Celestia Dubai South!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,556.0,True,False,70,27.0,9017,0.0,143,106,89,4,4.0,9.0,9.0,9.0,7.0,6.0,9.0,24.94801,55.20266
"Studio in A Family-Friendly Community, Dubai South",Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,56,0.0,3043,0.0,143,45,38,2,,,,,,,,24.948,55.203
Exclusive 2BR Apartment near Expo,Entire rental unit,entire_home,Dubai,25314,2,3,4,f,348.0,False,False,153,0.0,9596,0.0,98,52,64,8,1.6,2.0,5.0,7.0,2.0,3.0,4.0,24.94836,55.2019
Peaceful Studio at Celestia A Dubai South,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,556.0,True,False,79,30.0,3108,0.0,48,31,78,5,4.4,10.0,9.0,9.0,10.0,7.0,8.0,24.94884,55.20195
Lovely Interior Design -Excellent Facilities!,Entire rental unit,entire_home,Dubai,25314,1,2,3,f,556.0,True,False,97,41.0,11942,0.0,121,107,100,5,3.4,6.0,7.0,7.0,6.0,5.0,6.0,24.949,55.203
Cozy Studio in Damac Celestia A Dubai South,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,556.0,True,False,57,27.0,467,0.0,25,6,29,2,4.8,10.0,10.0,10.0,10.0,8.0,9.0,24.949,55.203
Calm Studio in Damac Celestia A Dubai South,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,556.0,True,False,76,27.0,5496,0.0,93,60,77,2,4.0,8.0,8.0,8.0,7.0,7.0,7.0,24.949,55.203
Cordial 1BR at Celestia B Dubai South,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,556.0,True,False,117,45.0,20048,0.0,213,140,79,8,3.4,8.0,9.0,9.0,6.0,7.0,7.0,24.949,55.203
Luxury 1 Bedroom Apartment at DAMAC Celestia,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,556.0,True,False,93,45.0,10805,0.0,141,94,80,7,4.0,6.0,9.0,9.0,9.0,9.0,9.0,24.949,55.203
Sleek Studio at Celestia A Dubai South,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,556.0,True,False,72,30.0,2682,0.0,40,30,90,3,1.0,2.0,10.0,10.0,10.0,10.0,2.0,24.949,55.203
One bedroom Apartment (EXPO AREA) - Damac Celestia,Entire rental unit,entire_home,Dubai,25314,1,2,3,f,1.0,False,False,106,27.0,8427,13.6167,182,64,42,12,4.3,10.0,9.0,8.0,9.0,8.0,10.0,24.949,55.203
Immaculate Studio at DAMAC Celestia,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,556.0,True,False,98,30.0,10206,0.0,124,86,83,4,4.2,8.0,9.0,10.0,8.0,6.0,8.0,24.949,55.203
Luxurious  5star  Studio near the DWC airport,Entire serviced apartment,entire_home,Dubai,25314,1,1,2,f,,False,True,95,0.0,8159,0.0,226,72,38,11,5.0,10.0,10.0,10.0,10.0,6.0,10.0,24.949,55.203
Restful Studio at Celestia A Dubai South,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,71,0.0,2201,0.0,31,27,100,2,4.0,6.0,6.0,8.0,6.0,6.0,8.0,24.949,55.203
Luxurious Studio | Desert View | Near Expo 2020,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,50,0.0,5400,0.0,150,90,72,9,5.0,10.0,10.0,10.0,10.0,6.0,10.0,24.949,55.203
Urban 1BR at DAMAC Celestia B Dubai South,Entire rental unit,entire_home,Dubai,25314,1,2,3,f,,False,False,86,0.0,5495,0.0,90,53,71,1,4.7,10.0,10.0,10.0,9.0,8.0,9.0,24.949,55.203
Spacious Studio Apt | Near Expo 2020 | DS,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,58,0.0,7460,0.0,218,107,59,9,5.0,10.0,10.0,10.0,10.0,10.0,9.0,24.949,55.203
Pool View | Near Expo 2020 | Ultra Modern Studio,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,48,0.0,6315,0.0,223,109,59,9,5.0,10.0,10.0,10.0,10.0,10.0,10.0,24.949,55.203
Near Expo 2020 - Free Amenities - Serene Location,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,55,0.0,3219,0.0,76,49,77,3,4.5,8.0,9.0,10.0,9.0,8.0,9.0,24.949,55.203
Posh Studio at Celestia A Dubai South,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,58,0.0,3391,0.0,79,49,74,3,4.5,9.0,9.0,9.0,9.0,8.0,7.0,24.949,55.203
Urban Studio at DAMAC Celestia B Dubai South,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,53,0.0,4633,0.0,94,73,93,1,,,,,,,,24.949,55.203
OFFER! 50% OFF! Great studio in Dubai South!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,t,,False,False,26,0.0,218,0.0,31,7,27,3,5.0,10.0,10.0,10.0,10.0,9.0,9.0,24.949,55.203
Lively Studio at DAMAC Celestia A Dubai South,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,70,0.0,2675,0.0,39,32,98,0,,,,,,,,24.949,55.203
Charming 2BR Apartment in Dubai South!,Entire rental unit,entire_home,Dubai,25314,2,3,4,f,,False,False,85,0.0,4096,0.0,61,40,79,2,,,,,,,,24.949,55.203
Bright 1BR Apartment in Dubai South!,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,,False,False,73,0.0,1222,0.0,31,14,54,0,,,,,,,,24.949,55.203
Amazing Studio Apartment II near Expo,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,75,0.0,1170,0.0,30,13,52,0,4.3,7.0,8.0,9.0,9.0,7.0,9.0,24.94934,55.20199
Vibrant Generations Oasis,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,60,0.0,365,0.0,38,5,16,3,,,,,,,,24.94951213660763,55.20174571681199
Exclusive Studio Apartment near Expo,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,348.0,True,False,74,0.0,9906,0.0,138,112,97,8,,,,,,,,24.94953,55.20201
Modern Studio Near to Expo City,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,50,0.0,1920,0.0,48,32,80,1,,,,,,,,24.949562563021427,55.20212683371927
Posh Studio | Comfort and Peace | Bills Included,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,53,0.0,1084,0.0,31,17,66,1,,,,,,,,24.94980228107689,55.20261604207272
Bright and Spacious Studio near DWC Airport!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,46,0.0,1207,0.0,41,22,64,2,,,,,,,,24.944268454997605,55.20864546352762
Stylish and Spacious Studio near DWC Airport!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,54,0.0,770,0.0,31,12,46,0,,,,,,,,24.94473962575421,55.2083741539572
Astounding Studio in the Heart of Dubai South!,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,48,0.0,1384,0.0,31,24,93,0,,,,,,,,24.94437,55.20862
Contemporary Studio Near to Expo City Dubai!,Entire rental unit,entire_home,Dubai,25314,Studio,1,3,f,,False,False,48,0.0,3445,0.0,97,60,74,2,5.0,10.0,10.0,10.0,10.0,8.0,10.0,24.945,55.21
New Way near DWC Dubai Airport,Entire rental unit,entire_home,Dubai,25314,Studio,1,3,f,,False,False,90,0.0,1168,0.0,59,11,22,1,3.0,4.0,2.0,10.0,10.0,2.0,6.0,24.945,55.21
Serene 2BR Apartment - Near DWC Airport,Entire rental unit,entire_home,Dubai,25314,2,2,4,f,,False,False,91,0.0,2285,0.0,31,21,81,1,,,,,,,,24.944875669171477,55.21071833579656
Cozy studio - brand new apartment,Entire vacation home,entire_home,Dubai,25314,1,1,2,f,,False,False,53,0.0,509,0.0,30,8,32,1,3.0,6.0,8.0,6.0,4.0,6.0,8.0,24.9431,55.2119
New Cosy Apart Expo 2020 Dubaï south,Entire rental unit,entire_home,Dubai,25314,1,2,4,f,2.0,True,True,80,68.0,96,9.07778,2,1,60,0,4.3,9.0,10.0,7.0,9.0,8.0,9.0,24.94263,55.21312
Amazing Studio Apartment I near Expo,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,348.0,False,False,84,0.0,4324,0.0,52,43,99,4,,,,,,,,24.94748,55.20335
Captivating Studio Apartment I near Expo,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,348.0,False,False,70,0.0,5281,0.0,82,63,92,9,,,,,,,,24.94745,55.20392
Superb Studio at Damac Celestia A Dubai South,Entire rental unit,entire_home,Dubai,25314,Studio,3,2,f,,False,False,94,0.0,672,0.0,11,6,65,1,4.7,9.0,9.0,9.0,7.0,7.0,9.0,24.94758,55.20396
Luxurious Studio Apartment,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,True,64,0.0,1920,0.0,30,30,100,0,,,,,,,,24.94758607099844,55.20408153374582
Bespoke 1BR Apartment II near Expo,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,348.0,False,False,105,0.0,6021,0.0,61,48,94,9,5.0,10.0,10.0,10.0,10.0,8.0,10.0,24.94768,55.20395
Luxurious Studio Apartment,Entire rental unit,entire_home,Dubai,25314,1,1,2,f,,False,False,58,0.0,1888,0.0,37,27,88,0,,,,,,,,24.94794293473245,55.20344415773697
Elegant Newly Furnished Studio in Dubai South,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,,False,False,57,0.0,1237,0.0,31,18,70,0,,,,,,,,24.94824,55.20348
Luxury 2 Bedroom Apartment Dubai,Entire rental unit,entire_home,Dubai,25314,2,3,5,f,,False,True,135,0.0,2260,0.0,31,14,54,0,,,,,,,,24.948,55.204
Attractive Studio Apartment I near Expo,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,348.0,False,False,73,0.0,3177,0.0,64,36,68,6,4.5,8.0,10.0,10.0,9.0,8.0,10.0,24.94917,55.20318
Celestia by Damac Top view apartment ✨,Entire guesthouse,entire_home,Dubai,25314,Studio,1,2,f,1.0,False,True,81,0.0,11709,0.0,295,121,49,13,4.5,9.0,9.0,9.0,8.0,8.0,8.0,24.94921,55.20359
Lavish 2BR Apartment in Dubai South!,Entire rental unit,entire_home,Dubai,25314,2,3,4,f,,False,False,71,0.0,4105,0.0,59,48,98,2,4.2,9.0,9.0,9.0,9.0,8.0,8.0,24.94888,55.20394
Dazzling Studio Apartment II near Expo,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,348.0,False,False,70,0.0,83,0.0,7,1,17,4,,,,,,,,24.94913,55.20406
Bright and Modern 2BR in Dubai South,Entire rental unit,entire_home,دبي,25314,2,2,4,f,164.0,False,False,77,0.0,7256,0.0,124,79,76,8,5.0,10.0,10.0,10.0,10.0,10.0,8.0,24.94586,55.20864
Luxury Studio Apartment IV near Expo,Entire rental unit,entire_home,Dubai,25314,Studio,1,2,f,348.0,False,False,80,0.0,8310,0.0,106,87,98,10,3.0,5.0,6.0,6.0,5.0,5.0,7.0,24.94963,55.20349
Lovely 1BR Apartment I near Expo,Entire rental unit,entire_home,Dubai,25314,1,2,2,f,348.0,False,False,116,0.0,3898,0.0,35,28,96,4,3.0,6.0,6.0,6.0,6.0,6.0,6.0,24.94969,55.20345
